English,French,Frequency
abide,respecter,35
about,sur,358
above,au dessus,124
abroad,à l'étranger,62
absence,absence,55
abuse,abuser de,45
according,selon,24
account,Compte,44
accuse,accuser,34
acquainted,connaissance,37
action,action,111
advantage,avantage,70
advice,Conseil,43
affairs,affaires,65
affection,affection,69
affections,affections,41
afraid,peur,41
after,après,324
afterwards,ensuite,38
again,encore,756
alive,vivant,86
almost,presque,139
alone,seul,231
along,le long de,108
already,déjà,138
although,bien que,37
always,toujours,58
ambition,ambition,43
ancient,ancien,71
angel,ange,52
anger,colère,53
another,un autre,346
answer,répondre,359
anything,n'importe quoi,100
apparel,vêtements,39
appear,apparaître,114
appears,apparaît,49
approach,approche,59
argument,argument,67
ariel,Ariel,0
armour,armure,41
aside,de côté,130
asleep,endormi,59
assure,assurer,46
athens,Athènes,0
attend,assister,100
attended,assisté,42
authority,autorité,51
avoid,éviter,34
awake,éveillé,61
awhile,quelque temps,101
banish,bannir,30
barren,Dénudé,37
bassianus,bassianus,0
bastard,Connard,65
battle,bataille,112
beard,barbe,95
bearing,palier,60
bears,ours,102
beast,la bête,70
beaten,battu,44
beauty,beauté,194
because,car,81
become,devenir,130
bedford,Bedford,0
before,avant,625
beggar,mendiant,56
begin,commencer,102
behalf,nom,45
behind,derrière,112
behold,voir,114
being,étant,546
believe,croyez,183
belike,être comme,22
below,au dessous de,52
benefit,avantage,39
besides,outre,48
betray,trahir,37
better,mieux,565
between,entre,190
beyond,au-delà,42
birth,naissance,86
bishop,évêque,3
bitter,amer,73
black,noir,144
blame,faire des reproches,81
bless,bénir,84
blessing,bénédiction,41
blest,heureux,49
blind,aveugle,77
blood,du sang,632
blows,coups,68
blunt,cru,27
blush,rougir,47
bodies,corps,44
bones,des os,75
borne,supporté,76
bottom,bas,35
bought,acheté,50
bound,lié,168
bounty,prime,39
brain,cerveau,79
brains,cerveaux,46
brave,courageux,146
breast,Sein,97
breath,souffle,206
breed,race,46
brief,bref,84
bright,brillant,66
bring,apporter,370
broke,cassé,82
brook,ruisseau,38
brother,frère,512
brought,apporté,186
brows,sourcils,44
burden,fardeau,43
buried,enterré,54
burning,brûlant,44
business,Entreprise,231
